"text","id","referenced_tweets","author_id","created_at"
"RT @add29987: Yale fragment, Serbian Byzantine music, Peter Lampadarie  write for Serbian mitorpolit, written on ChurchSlavic with Greek le…","1327786821858816000","[{""type"":""retweeted"",""id"":""1327755802564849664""}]","34720331","2020-11-15T01:33:42.000Z"
"András Riedlmayer, bibliographer in Islamic art &amp; architecture at our Fine Arts Library, is a historian with quite a history of his own: In 2002 he testified against a Serbian dictator charged with war crimes. Hear his story via @bbcworldservice: https://t.co/9aOz6Yn1Ch at 26:50.","1181554899596795905",,"52838996","2019-10-08T13:00:14.000Z"
