id,created_at,text
8.91012990475977E+017,2017-07-28T19:10:25.000Z,"#OTD in 1914 a young Serbian nationalist, Gavrilo Princip, killed Archduke Franz Ferdinand in Sarajevo. WWI begins. https://t.co/5QTXrd59kR https://t.co/a6Rn9HJVIS"
6.54092774296322E+017,2015-10-14T00:34:04.000Z,Falling Under the Spell of Sarajevo http://t.co/GyLFeZJC3w
,2015-04-12T14:44:33.000Z,RT @tanyadomi: The #Sarajevo #Haggadah: Music of the Book | Concert | The Morgan Library &amp; Museum: http://t.co/oFQxqm7x3B via @morganlibrar…
