created_at,author_id,text,referenced_tweets
2015-06-23T10:21:41.000Z,33972897,See... http://t.co/1nezpwnhh1 #utlibraries,
2015-06-22T22:20:29.000Z,33972897,See... http://t.co/1nezpwnhh1 #utlibraries,
2014-11-04T22:20:41.000Z,23824100,Nice write-up by @AdrienneWrites of lecture on Sand Creek Massacre tonight: http://t.co/m6i0k6p1iB,
2014-11-03T15:31:45.000Z,23824100,New lecture series in Am. Indian Studies launching tmrw night at 6 at the Newberry: http://t.co/o2WmVbBX73,
2014-01-28T14:15:08.000Z,33972897,RT @RdaPeaceEducPgm: @NIODamsterdam @USCShoahFdn @USCIWitness @utlibraries @RwandaRemembers this is about your partnership with the  Genoci…,
2014-01-24T00:46:50.000Z,33972897,RT @Aegis_Trust: Aegis &amp; partners expand archive @ Kigali Genocide Memorial: http://t.co/z0rCtk6hKl @USCShoahFdn @NIODamsterdam @utlibrarie…,
2014-01-23T20:02:21.000Z,84614552,"Tonight! Rights!Camera!Action! screening of ""Enemies of the People,"" a documentary on the Cambodian genocide: http://t.co/1qs7MzTqHX",
2014-01-17T18:01:39.000Z,84614552,"Next Thursday, Rights!Camera!Action! will be screening ""Enemies of the People"" about genocide in Cambodia: http://t.co/ucZdAGBjrN",
2012-04-05T19:36:23.000Z,33972897,4/10 4pm @utfal: Dr. Alan J. Kuperman (@TheLBJSchool) on humanitarian intervention & civil war in Africa http://t.co/Jo5g9ybm (via @UT_HRDI),
2012-03-23T16:34:32.000Z,33972897,"Genocide Archive of Rwanda photos on view at @utfal, via @ut_hrdi http://t.co/VrzEAL0z",
2011-03-22T16:49:45.000Z,33972897,Our partner in the @UT_HRDI is now on Twitter -- follow the Genocide Archive of Rwanda @GenArchiveRw,
2010-12-17T17:24:04.000Z,33972897,Read about the PCL whiteboards and the Genocide Archive of Rwanda & @UT_HRDI  in today's @statesman http://ow.ly/3qVpX,
2010-12-10T22:22:00.000Z,33972897,More on the Genocide Archive of Rwanda & @UT_HRDI from a tech perspective via @rww http://ow.ly/3nrcn,
2010-12-10T19:56:16.000Z,33972897,Read more about UT_HRDI & the Genocide Archive of Rwanda in the @guardian http://ow.ly/3nmpZ,
2010-12-09T23:13:30.000Z,33972897,University of Texas Libraries Initiative Integral to Establishment of Genocide Archive http://ff.im/-uXBzN,
2010-12-08T16:25:17.000Z,33972897,"RT @ut_hrdi: Tonight 6:30 Human Rights Archivist T-Kay Sangwand speaks about HRDI, work w/ KGM & genocide documentation http://ow.ly/3lxac",
