"id","author_id","created_at","text"
"891012990475976704","829482804954042368","2017-07-28T19:10:25.000Z","#OTD in 1914 a young Serbian nationalist, Gavrilo Princip, killed Archduke Franz Ferdinand in Sarajevo. WWI begins. https://t.co/5QTXrd59kR https://t.co/a6Rn9HJVIS"
"654092774296322048","3472439181","2015-10-14T00:34:04.000Z","Falling Under the Spell of Sarajevo http://t.co/GyLFeZJC3w"
