"text","referenced_tweets","id","created_at","author_id"
"RT @ilovetypography: Three books I can't wait to read:

1. Lost in Thought by @zenahitz
https://t.co/3KHy7G0YnQ

2. Burning the Books by @r…","[{""type"":""retweeted"",""id"":""1300468964133273611""}]","1300471974741839872","2020-08-31T16:34:15.000Z","23824100"
"Richard Ovenden from Bodleian Libraries at the University of Oxford speaks of the massive success of the UK-leg of this exhibition. #MiddleEarthInManhattan #Tolkien","[{""type"":""replied_to"",""id"":""1088446001860538368""}]","1088448372522999808","2019-01-24T14:48:09.000Z","20710330"
