"text","id","created_at","author_id"
"Join us today, Nov. 16, at 1 p.m. to hear Richard Ovenden @richove from the University of Oxford's @bodleianlibs discuss ""Burning the Books: A History of the Deliberate Destruction of Knowledge."" 

Register: https://t.co/nIXxyKtEAS 

@Harvard_Press @labyrinth_books @ARLnews https://t.co/k33onx1aan","1328350765962981381","2020-11-16T14:54:36.000Z","1042365943"
"Looking forward to Monday, 11/16 at 1 p.m. to hear Richard Ovenden, Bodley's Librarian at the University of Oxford, discuss ""Burning the Books: A History of the Deliberate Destruction of Knowledge"". 

Register here! https://t.co/sMzlYGdZnQ

@PrincetonRBSC @ARLnews https://t.co/JAGdbHsnKs https://t.co/6S7kp2hqzW","1325906834075643904","2020-11-09T21:03:18.000Z","1042365943"
"What motivates the deliberate destruction of knowledge, especially of libraries and archives? How does knowledge preservation provide social value? 

Join us Nov. 16 at 1 p.m. EST with Richard Ovenden, Bodley Librarian @bodleianlibs 

https://t.co/pyqfz2UH8Z https://t.co/MoBQq2gYBM","1319270206066352128","2020-10-22T13:31:42.000Z","1042365943"
"RT @bodleianlibs: New Bodley's Librarian appointed - congratulations to Richard Ovenden (@richove) as he takes the helm: http://t.co/9dSOeh…","433943327814463488","2014-02-13T12:38:46.000Z","89477148"
